maintenanceID;tailNumber;issueDetected;source;status;assignedTo;deadline
NT9001;SA8880;;OCR Checklist;PENDING;Technician A;2025-08-02
MNT9002;KE2815;;Pre-flight inspection;IN_PROGRESS;Technician B;2025-08-05
MNT9003;DL6343;;Pilot report;PENDING;Technician C;2025-08-03
MNT9004;QR5924;;Post-flight check;COMPLETED;Technician A;2025-07-30
MNT9005;AF1454;;Ground crew report;IN_PROGRESS;Technician D;2025-08-01
MNT9006;ET4010;;OCR Checklist;OVERDUE;Technician E;2025-07-28
MNT9007;SK3823;;Routine maintenance;PENDING;Technician F;2025-08-04
MNT9008;LA9571;;Pilot report;IN_PROGRESS;Technician A;2025-08-06
MNT9009;AA7291;;Ground crew report;COMPLETED;Technician B;2025-07-31
MNT9010;BA8817;;Pre-flight inspection;PENDING;Technician C;2025-08-07
MNT9011;AF8764;;Post-flight check;OVERDUE;Technician D;2025-07-27
MNT9012;WN2726;;OCR Checklist;IN_PROGRESS;Technician E;2025-08-02
MNT9013;AC1756;;Routine maintenance;PENDING;Technician F;2025-08-08
MNT9014;SA7667;;Pilot report;COMPLETED;Technician A;2025-08-01
MNT9015;TG8482;;Ground crew report;IN_PROGRESS;Technician B;2025-08-03
MNT9016;TG5949;;Pre-flight inspection;OVERDUE;Technician C;2025-07-26
MNT9017;SK7047;;Post-flight check;PENDING;Technician D;2025-08-09
MNT9018;AC5785;;OCR Checklist;IN_PROGRESS;Technician E;2025-08-04
MNT9019;SQ7108;;Routine maintenance;COMPLETED;Technician F;2025-08-02
MNT9020;TG3656;;Pilot report;PENDING;Technician A;2025-08-10
MNT9021;AV3043;;Ground crew report;OVERDUE;Technician B;2025-07-25
MNT9022;WN7069;;Pre-flight inspection;PENDING;Technician C;2025-08-05
MNT9023;AZ8773;;Post-flight check;IN_PROGRESS;Technician D;2025-08-11
MNT9024;ET2023;;OCR Checklist;COMPLETED;Technician E;2025-08-03
MNT9025;AV2901;;Routine maintenance;PENDING;Technician F;2025-08-06
MNT9026;AI9700;;Pilot report;OVERDUE;Technician A;2025-07-24
MNT9027;SQ2554;;Ground crew report;IN_PROGRESS;Technician B;2025-08-07
MNT9028;ET6215;;Pre-flight inspection;COMPLETED;Technician C;2025-08-04
MNT9029;CX4520;;Post-flight check;PENDING;Technician D;2025-08-12
MNT9030;SK1999;;OCR Checklist;IN_PROGRESS;Technician E;2025-08-08
MNT9031;AI6681;;Routine maintenance;OVERDUE;Technician F;2025-07-23
MNT9032;AV6230;;Pilot report;PENDING;Technician A;2025-08-09
MNT9033;KL9159;;Ground crew report;COMPLETED;Technician B;2025-08-05
MNT9034;AA4201;;Pre-flight inspection;IN_PROGRESS;Technician C;2025-08-13
MNT9035;TG8972;;Post-flight check;PENDING;Technician D;2025-08-10
MNT9036;LH6321;;OCR Checklist;OVERDUE;Technician E;2025-07-22
MNT9037;TG9555;;Routine maintenance;IN_PROGRESS;Technician F;2025-08-06
MNT9038;KE7078;;Pilot report;COMPLETED;Technician A;2025-08-07
MNT9039;NH6079;;Ground crew report;PENDING;Technician B;2025-08-14
MNT9040;AM7303;;Pre-flight inspection;IN_PROGRESS;Technician C;2025-08-11
MNT9041;TG7094;;Post-flight check;OVERDUE;Technician D;2025-07-21
MNT9042;ET7092;;OCR Checklist;PENDING;Technician E;2025-08-12
MNT9043;BA1442;;Routine maintenance;IN_PROGRESS;Technician F;2025-08-08
MNT9044;LH3478;;Pilot report;COMPLETED;Technician A;2025-08-09
MNT9045;AC2804;;Ground crew report;PENDING;Technician B;2025-08-15
MNT9046;BA1907;;Pre-flight inspection;OVERDUE;Technician C;2025-07-20
MNT9047;SK9521;;Post-flight check;IN_PROGRESS;Technician D;2025-08-13
MNT9048;KL6095;;OCR Checklist;COMPLETED;Technician E;2025-08-10
MNT9049;SK6503;;Routine maintenance;PENDING;Technician F;2025-08-16
MNT9050;AM3135;;Pilot report;IN_PROGRESS;Technician A;2025-08-14
MNT9051;KE5043;;Ground crew report;OVERDUE;Technician B;2025-07-19
MNT9052;AI4437;;Pre-flight inspection;PENDING;Technician C;2025-08-11
MNT9053;AZ2844;;Post-flight check;COMPLETED;Technician D;2025-08-12
MNT9054;KL1090;;OCR Checklist;IN_PROGRESS;Technician E;2025-08-17
MNT9055;NZ4614;;Routine maintenance;PENDING;Technician F;2025-08-13
MNT9056;AM6576;;Pilot report;OVERDUE;Technician A;2025-07-18
MNT9057;AZ7819;;Ground crew report;IN_PROGRESS;Technician B;2025-08-15
MNT9058;IB3864;;Pre-flight inspection;COMPLETED;Technician C;2025-08-14
MNT9059;QF4285;;Post-flight check;PENDING;Technician D;2025-08-18
MNT9060;KL2216;;OCR Checklist;IN_PROGRESS;Technician E;2025-08-16
MNT9061;TG1075;;Routine maintenance;COMPLETED;Technician F;2025-08-19
MNT9162;UA8830;;Pilot report;PENDING;Technician A;2025-08-17
MNT9163;LH6218;;Ground crew report;OVERDUE;Technician B;2025-07-17
MNT9164;SQ2503;;Pre-flight inspection;IN_PROGRESS;Technician C;2025-08-20
